"Carimbo de data/hora","Nome de usuário","Qual tipo de curso você está fazendo?","Em qual escola você estuda?","Você mora na mesma cidade da escola que você estuda?","Você tinha dificuldades para ir à sua escola antes da Pandemia?","Qual modalidade de ensino você está cursando durante a Pandemia?","Quando você ficou sabendo que teria ensino remoto, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino remoto, o que você está achando?","Quais tecnologias você usar para estudar remotamente?","Você está sentindo dificuldades em utilizar a tecnologias?","Quais são os desafios do ensino remoto para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino remoto está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino Remoto e ensino Presencial, qual você prefere?","Quando você ficou sabendo que teria ensino EAD, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino EAD, o que você está achando?","Quais tecnologias você usa para seus estudos EAD?","Você está sentindo dificuldades em utilizar estas tecnologias?","Quais são os desafios do ensino EAD para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino EAD está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino EAD e o ensino Presencial, qual você prefere?"
"2020/05/14 9:50:34 PM GMT-3","","Curso Superior","Fatec","Sim","Acabava gastando muito em gasolina","Ensino Remoto","Sim","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams;WhatsApp;Youtube","Não","Minha internet não é boa;Não consigo ter foco em casa;Não consigo me adaptar a esse modelo de ensino","Estou com cansaço na visão;Estou com dor de cabeça;Estou com um estresse maior;Estou com dor no corpo, por causa de ambiente impróprio para estudo;Sono, muito sono","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:55:36 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Não","Eu achava que seria horrível","Estou achando Excelente","Microsoft Teams","As vezes","Consegui superar os desafios","Estou com cansaço na visão;Estou com dor de cabeça","Sim","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/14 9:57:12 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Eu achava que seria horrível","Estou achando bom","Microsoft Teams","As vezes","Não tenho computador para assistir e praticar as aulas","Estou com um estresse maior","Sim","Sim","Ensino Remoto","","","","","","","","","",""
"2020/05/14 9:59:58 PM GMT-3","","Curso Superior","Unip","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Sim","Achava que seria bom","Estou achando bom","Zoom","As vezes","Não consigo ter foco em casa;Não consigo me adaptar;Não consigo me adaptar a esse modelo de ensino","Não","Não","Não","Ensino Presencial"
"2020/05/14 10:02:39 PM GMT-3","","Curso Superior","Unitoledo","Sim","Distância longa","Ensino Remoto","Não","Eu não sabia o que pensar","Estou achando bom","Google Hangouts Meet;WhatsApp;Youtube","As vezes","Os professores não estão se adaptando","Estou com cansaço na visão;Estou com dor de cabeça;Estou com um estresse maior","Sim","Apenas para complemento nos estudos","Ensino Presencial","","","","","","","","","",""
"2020/05/14 10:09:54 PM GMT-3","","Ensino Médio","Padre Romeo Mecca","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Não","Eu não sabia o que pensar","Estou achando bom","Plataforma Da escola;WhatsApp;Youtube","Não","Consegui superar os desafios","Estou com cansaço na visão","Não","Sim","Ensino EAD"
"2020/05/14 10:14:35 PM GMT-3","","Curso Superior","Ateneu ","Sim","Tenho dificuldades de horários","Ensino Remoto","Sim","Eu não sabia o que pensar","Estou achando horrível","Microsoft Teams","Não","Minha internet não é boa;Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades;Não consigo ter foco em casa;Não consigo me adaptar;Não consigo me adaptar a esse modelo de ensino","Estou com cansaço na visão;Estou com um estresse maior","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/14 10:18:31 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte pago;Tenho dificuldades de horários","Ensino Remoto","Sim","Eu achava que seria horrível","Estou achando bom","Microsoft Teams","Sim","Minha internet não é boa;Não tenho computador para assistir e praticar as aulas;Não consigo ter foco em casa;Não consigo me adaptar;Não consigo me adaptar a esse modelo de ensino","Estou com cansaço na visão;Estou com dor de cabeça;Estou com um estresse maior","Não","Apenas para complemento nos estudos","Ensino Presencial","","","","","","","","","",""
"2020/05/14 10:59:06 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Achei que seria Ruim","Estou achando bom","Microsoft Teams","Não","Não consigo ter foco em casa","Não","Não","Apenas para complemento nos estudos","Ensino Presencial","","","","","","","","","",""
"2020/05/14 11:02:55 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte pago","Ensino Remoto","Não","Eu achava que seria horrível","Estou achando Excelente","Microsoft Teams","Não","Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades","Não","Sim","Apenas para complemento nos estudos","Ensino Presencial","","","","","","","","","",""
